individual	left	right	length	bin
EUR_1	6602745	6693324	90579	12
EUR_1	10306597	10347695	41098	6
EUR_1	10410256	10434431	24175	4
EUR_1	10926913	11122255	195342	25
EUR_1	11360944	11448832	87888	12
EUR_1	14799338	14799442	104	1
EUR_1	17795981	17965967	169986	22
EUR_1	19634530	19653747	19217	3
EUR_1	31458689	31553001	94312	12
EUR_1	32404436	32417734	13298	2
EUR_1	40538208	40541166	2958	1
EUR_1	46286724	46289421	2697	1
EUR_1	47986949	48088186	101237	13
EUR_1	1998883	2045146	46263	6
EUR_1	2662974	2850589	187615	24
EUR_1	3480946	3533432	52486	7
EUR_1	6404273	6444711	40438	6
EUR_1	6602745	6724200	121455	16
EUR_1	10875976	10880965	4989	1
EUR_1	11360944	11448832	87888	12
EUR_1	11603437	11705104	101667	13
EUR_1	13794548	13796948	2400	1
EUR_1	24814107	24852861	38754	5
EUR_1	25002639	25038480	35841	5
EUR_1	25042635	25096390	53755	7
EUR_1	25174124	25217316	43192	6
EUR_1	25324980	25535269	210289	27
EUR_1	25772135	25783655	11520	2
EUR_1	30341238	30350365	9127	2
EUR_1	31969301	31982644	13343	2
EUR_1	32404436	32417734	13298	2
EUR_1	36025195	36063690	38495	5
EUR_1	36520464	36570547	50083	7
EUR_1	41202794	41221991	19197	3
EUR_1	47306832	47323219	16387	3
EUR_1	47981318	47995369	14051	2
EUR_2	3374961	3533432	158471	21
EUR_2	6602745	6644537	41792	6
EUR_2	10587355	10600945	13590	2
EUR_2	10920126	10920372	246	1
EUR_2	11286257	11305525	19268	3
EUR_2	11576374	11581877	5503	1
EUR_2	11630302	11682054	51752	7
EUR_2	11691089	11705104	14015	2
EUR_2	12485443	12493640	8197	2
EUR_2	16620763	16643210	22447	3
EUR_2	17491239	17527378	36139	5
EUR_2	17795981	17862353	66372	9
EUR_2	24925998	25003609	77611	10
EUR_2	25319231	25426466	107235	14
EUR_2	30527970	30531255	3285	1
EUR_2	31379113	31417248	38135	5
EUR_2	32026816	32046391	19575	3
EUR_2	33327285	33404816	77531	10
EUR_2	35872885	36062214	189329	24
EUR_2	36101549	36405919	304370	39
EUR_2	36498078	36506563	8485	2
EUR_2	41018197	41131799	113602	15
EUR_2	45879695	45943076	63381	8
EUR_2	47306832	47346992	40160	6
EUR_2	1173834	1247512	73678	10
EUR_2	2716070	2819887	103817	14
EUR_2	5430664	5442656	11992	2
EUR_2	6602745	6693324	90579	12
EUR_2	13764087	13779122	15035	2
EUR_2	14332120	14370739	38619	5
EUR_2	16017613	16026806	9193	2
EUR_2	20308976	20387073	78097	10
EUR_2	23025500	23039318	13818	2
EUR_2	24773585	25064173	290588	37
EUR_2	25413883	25457748	43865	6
EUR_2	25804541	25812973	8432	2
EUR_2	31618281	31684536	66255	9
EUR_2	32612479	32622255	9776	2
EUR_2	33115326	33138568	23242	3
EUR_2	36251755	36322999	71244	9
EUR_2	36520464	36570547	50083	7
EUR_2	41000258	41199187	198929	26
EUR_2	41896558	41897997	1439	1
EUR_2	45278228	45285743	7515	1
EUR_2	47306832	47401302	94470	12
EUR_2	47939354	47988402	49048	7
EUR_2	48303107	48400149	97042	13
EUR_3	2105113	2106323	1210	1
EUR_3	2586193	2591704	5511	1
EUR_3	6404273	6444711	40438	6
EUR_3	6602745	6724200	121455	16
EUR_3	10600195	10600945	750	1
EUR_3	11360944	11448832	87888	12
EUR_3	11576374	11581877	5503	1
EUR_3	11630302	11705104	74802	10
EUR_3	17880196	17941014	60818	8
EUR_3	19332471	19333614	1143	1
EUR_3	24964913	25109458	144545	19
EUR_3	33387820	33398262	10442	2
EUR_3	36562799	36570547	7748	1
EUR_3	41870025	42003534	133509	17
EUR_3	45879695	45943076	63381	8
EUR_3	46286724	46426354	139630	18
EUR_3	47317924	47398829	80905	11
EUR_3	2072165	2106323	34158	5
EUR_3	2106396	2137032	30636	4
EUR_3	3629717	3635080	5363	1
EUR_3	6823045	6831612	8567	2
EUR_3	11297747	11305525	7778	1
EUR_3	11360944	11448832	87888	12
EUR_3	14716633	14723200	6567	1
EUR_3	21345583	21369344	23761	3
EUR_3	30527970	30531255	3285	1
EUR_3	31779686	32037279	257593	33
EUR_3	32404436	32427441	23005	3
EUR_3	33316144	33385032	68888	9
EUR_3	35997174	36045432	48258	7
EUR_3	36251755	36370813	119058	16
EUR_3	36484847	36506563	21716	3
EUR_3	46363306	46397816	34510	5
EUR_3	47375663	47401302	25639	4
EUR_4	864720	887567	22847	3
EUR_4	2072165	2106323	34158	5
EUR_4	2106396	2137032	30636	4
EUR_4	5463548	5470404	6856	1
EUR_4	10454414	10496133	41719	6
EUR_4	11121107	11122255	1148	1
EUR_4	11225139	11282514	57375	8
EUR_4	11648276	11667319	19043	3
EUR_4	12485443	12493640	8197	2
EUR_4	13126809	13151849	25040	4
EUR_4	13215258	13266111	50853	7
EUR_4	15159254	15371253	211999	27
